Grade,Subject,Chapter No.,Chapter,Part No.,Content_Title,Duration,youtube_link
Class 6,गणित,1,अपनी संख्याओं की जानकारी,7,प्रश्नावली 1.1 (प्रश्न संख्या 1 व 2 ),1071,www.youtube.com/embed/r2ouHRngmEc
Class 6,गणित,1,अपनी संख्याओं की जानकारी,8,प्रश्नावली ( प्रश्न संख्या 3 व 4 ),555,www.youtube.com/embed/2ZdsIg3F1IM
Class 6,गणित,1,अपनी संख्याओं की जानकारी,9,मापन एवं इकाईयाँ,852,www.youtube.com/embed/Tg_4DzSJpIQ
Class 6,गणित,1,अपनी संख्याओं की जानकारी,10,उदाहरण - 1 व 2,633,www.youtube.com/embed/eMVKzXRzbEA
Class 6,गणित,1,अपनी संख्याओं की जानकारी,11,उदाहरण - 3 व 4,1190,www.youtube.com/embed/W2-4OUQccW8
Class 6,गणित,1,अपनी संख्याओं की जानकारी,12,प्रश्नावली - 1.2 (प्रश्न संख्या 1 व 2 ),417,www.youtube.com/embed/Dhtm2CzKGyk
Class 6,गणित,1,अपनी संख्याओं की जानकारी,13,प्रश्नावली - 1.2 (प्रश्न संख्या 3 व 4),628,www.youtube.com/embed/ncBLTR-WvX8
Class 6,गणित,1,अपनी संख्याओं की जानकारी,14,प्रश्नावली - 1.2 (प्रश्न संख्या 5 व 6),396,www.youtube.com/embed/NxANZfc1lQI
Class 6,गणित,1,अपनी संख्याओं की जानकारी,15,प्रश्नावली - 1.2 (प्रश्न संख्या 7 व 8),458,www.youtube.com/embed/05XYYYDeNxw
Class 6,गणित,1,अपनी संख्याओं की जानकारी,16,प्रश्नावली - 1.2 (प्रश्न संख्या 9 व 10),1018,www.youtube.com/embed/WuFkYojUyAI
Class 6,गणित,1,अपनी संख्याओं की जानकारी,17,प्रश्नावली - 1.2 (प्रश्न संख्या 11 व 12),769,www.youtube.com/embed/J4nc7gJGWeM
Class 6,गणित,1,अपनी संख्याओं की जानकारी,18,सन्निकट मान (Approximate Value),1604,www.youtube.com/embed/b9X1Df0tQA8
Class 6,गणित,1,अपनी संख्याओं की जानकारी,19,सन्निकट मान (Approximate Value) - उदाहरण,515,www.youtube.com/embed/3Rd9TrZ8JaQ
Class 6,गणित,1,अपनी संख्याओं की जानकारी,20,प्रश्नावली 1.3 (प्रश्न संख्या 1),337,www.youtube.com/embed/22xINqlOL34
Class 6,गणित,1,अपनी संख्याओं की जानकारी,21,प्रश्नावली 1.3 (प्रश्न संख्या 2),742,www.youtube.com/embed/pF2f5G-jF5A
Class 6,गणित,1,अपनी संख्याओं की जानकारी,22,प्रश्नावली 1.3 (प्रश्न संख्या 3),616,www.youtube.com/embed/1TQoM5j6YWA
Class 6,गणित,1,अपनी संख्याओं की जानकारी,23,कोष्ठकों का प्रयोग,1087,www.youtube.com/embed/gKDG-AUBCeg
Class 6,गणित,1,अपनी संख्याओं की जानकारी,24,रोमन संख्यांक,1233,www.youtube.com/embed/b3HrM6VGuF0
Class 6,गणित,2,पूर्ण संख्याएँ,1,परिचय,1184,www.youtube.com/embed/2A40BrBFmyU
